Args: Namespace(accumulate=4, alpha=2, batch_size=16, beta=1, bptt=1024, ce_weight=True, clip=0.25, cooldown=None, criterion='MSE', cuda=True, data='data/enwik8/', dropout=0.3, dropoute=0.1, dropouth=0.3, dropouti=0.3, emsize=1024, epochs=15, language_model=False, log_interval=300, lr=0.0004, model='BERT', nhid=4096, nlayers=4, nonmono=5, optimizer='adamw', resume='', save='BERT.pt', seed=5512, tied=True, warmup=3000, wdecay=1.2e-06, wdrop=0.0, when=[-1])
Model total parameters: 37327885
| epoch   0 |   300/10519 batches | lr 0.00001 | ms/batch 63.88 | loss  2.54 | ppl    12.65 | bpc    3.661 | acc 0.67789 | tag_acc 0.01857
| epoch   0 |   600/10519 batches | lr 0.00002 | ms/batch 63.38 | loss  2.36 | ppl    10.64 | bpc    3.411 | acc 0.93537 | tag_acc 0.00000
| epoch   0 |   900/10519 batches | lr 0.00003 | ms/batch 63.31 | loss  2.34 | ppl    10.34 | bpc    3.371 | acc 0.93429 | tag_acc 0.00000
| epoch   0 |  1200/10519 batches | lr 0.00004 | ms/batch 64.47 | loss  2.24 | ppl     9.43 | bpc    3.238 | acc 0.93163 | tag_acc 0.01355
| epoch   0 |  1500/10519 batches | lr 0.00005 | ms/batch 65.25 | loss  1.79 | ppl     5.97 | bpc    2.577 | acc 0.87037 | tag_acc 0.18218
| epoch   0 |  1800/10519 batches | lr 0.00006 | ms/batch 64.55 | loss  1.64 | ppl     5.17 | bpc    2.370 | acc 0.86376 | tag_acc 0.26466
| epoch   0 |  2100/10519 batches | lr 0.00007 | ms/batch 65.46 | loss  1.57 | ppl     4.79 | bpc    2.260 | acc 0.85245 | tag_acc 0.37316
| epoch   0 |  2400/10519 batches | lr 0.00008 | ms/batch 64.92 | loss  1.50 | ppl     4.49 | bpc    2.168 | acc 0.81805 | tag_acc 0.38268
| epoch   0 |  2700/10519 batches | lr 0.00009 | ms/batch 65.18 | loss  1.27 | ppl     3.57 | bpc    1.837 | acc 0.83543 | tag_acc 0.44404
| epoch   0 |  3000/10519 batches | lr 0.00010 | ms/batch 64.51 | loss  1.18 | ppl     3.27 | bpc    1.707 | acc 0.85177 | tag_acc 0.51334
| epoch   0 |  3300/10519 batches | lr 0.00011 | ms/batch 65.04 | loss  1.05 | ppl     2.87 | bpc    1.520 | acc 0.86593 | tag_acc 0.54685
| epoch   0 |  3600/10519 batches | lr 0.00012 | ms/batch 64.94 | loss  1.08 | ppl     2.95 | bpc    1.560 | acc 0.87813 | tag_acc 0.57986
| epoch   0 |  3900/10519 batches | lr 0.00013 | ms/batch 64.89 | loss  1.00 | ppl     2.72 | bpc    1.443 | acc 0.87906 | tag_acc 0.60870
| epoch   0 |  4200/10519 batches | lr 0.00014 | ms/batch 64.41 | loss  0.86 | ppl     2.36 | bpc    1.237 | acc 0.90192 | tag_acc 0.64882
| epoch   0 |  4500/10519 batches | lr 0.00015 | ms/batch 64.31 | loss  0.87 | ppl     2.38 | bpc    1.251 | acc 0.89411 | tag_acc 0.66767
| epoch   0 |  4800/10519 batches | lr 0.00016 | ms/batch 65.09 | loss  0.82 | ppl     2.26 | bpc    1.177 | acc 0.88370 | tag_acc 0.67830
| epoch   0 |  5100/10519 batches | lr 0.00017 | ms/batch 65.19 | loss  0.81 | ppl     2.24 | bpc    1.165 | acc 0.90768 | tag_acc 0.69410
| epoch   0 |  5400/10519 batches | lr 0.00018 | ms/batch 64.87 | loss  0.73 | ppl     2.07 | bpc    1.048 | acc 0.90686 | tag_acc 0.72733
| epoch   0 |  5700/10519 batches | lr 0.00019 | ms/batch 65.14 | loss  0.74 | ppl     2.10 | bpc    1.072 | acc 0.90071 | tag_acc 0.73892
| epoch   0 |  6000/10519 batches | lr 0.00020 | ms/batch 64.82 | loss  0.75 | ppl     2.13 | bpc    1.088 | acc 0.91794 | tag_acc 0.71007
| epoch   0 |  6300/10519 batches | lr 0.00021 | ms/batch 64.82 | loss  0.65 | ppl     1.91 | bpc    0.932 | acc 0.92066 | tag_acc 0.76494
| epoch   0 |  6600/10519 batches | lr 0.00022 | ms/batch 65.01 | loss  0.60 | ppl     1.82 | bpc    0.865 | acc 0.93003 | tag_acc 0.76153
| epoch   0 |  6900/10519 batches | lr 0.00023 | ms/batch 64.09 | loss  0.70 | ppl     2.01 | bpc    1.006 | acc 0.92903 | tag_acc 0.75394
| epoch   0 |  7200/10519 batches | lr 0.00024 | ms/batch 65.19 | loss  0.62 | ppl     1.85 | bpc    0.888 | acc 0.92828 | tag_acc 0.77961
| epoch   0 |  7500/10519 batches | lr 0.00025 | ms/batch 64.79 | loss  0.56 | ppl     1.76 | bpc    0.812 | acc 0.94100 | tag_acc 0.80475
| epoch   0 |  7800/10519 batches | lr 0.00026 | ms/batch 65.03 | loss  0.59 | ppl     1.81 | bpc    0.856 | acc 0.94580 | tag_acc 0.78102
| epoch   0 |  8100/10519 batches | lr 0.00027 | ms/batch 65.09 | loss  0.56 | ppl     1.75 | bpc    0.808 | acc 0.94123 | tag_acc 0.79128
| epoch   0 |  8400/10519 batches | lr 0.00028 | ms/batch 64.36 | loss  0.51 | ppl     1.66 | bpc    0.729 | acc 0.95126 | tag_acc 0.79507
| epoch   0 |  8700/10519 batches | lr 0.00029 | ms/batch 64.13 | loss  0.52 | ppl     1.68 | bpc    0.751 | acc 0.94723 | tag_acc 0.80746
| epoch   0 |  9000/10519 batches | lr 0.00030 | ms/batch 64.23 | loss  0.54 | ppl     1.71 | bpc    0.776 | acc 0.93985 | tag_acc 0.80116
| epoch   0 |  9300/10519 batches | lr 0.00031 | ms/batch 64.72 | loss  0.51 | ppl     1.67 | bpc    0.743 | acc 0.95339 | tag_acc 0.81468
| epoch   0 |  9600/10519 batches | lr 0.00032 | ms/batch 64.42 | loss  0.64 | ppl     1.91 | bpc    0.930 | acc 0.94308 | tag_acc 0.77884
| epoch   0 |  9900/10519 batches | lr 0.00033 | ms/batch 65.25 | loss  0.53 | ppl     1.70 | bpc    0.769 | acc 0.94851 | tag_acc 0.81165
| epoch   0 | 10200/10519 batches | lr 0.00034 | ms/batch 64.69 | loss  0.47 | ppl     1.61 | bpc    0.683 | acc 0.95435 | tag_acc 0.81445
| epoch   0 | 10500/10519 batches | lr 0.00035 | ms/batch 64.98 | loss  0.44 | ppl     1.56 | bpc    0.639 | acc 0.95962 | tag_acc 0.83019
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 714.08s | valid loss  0.45 | valid ppl     1.57 | valid bpc    0.654 | valid acc 0.95821 | valid tag acc 0.82268
-----------------------------------------------------------------------------------------
Saving model (new best validation)
| epoch   1 |   300/10519 batches | lr 0.00036 | ms/batch 64.65 | loss  0.41 | ppl     1.51 | bpc    0.596 | acc 0.96620 | tag_acc 0.83888
