Args: Namespace(data='data/enwik8/', model='LSTM', emsize=1024, nhid=4096, nlayers=4, lr=0.0001, clip=0.25, epochs=15, batch_size=16, bptt=1024, warmup=3000, cooldown=None, accumulate=4, dropout=0.3, dropouth=0.3, dropouti=0.3, dropoute=0.1, wdrop=0.0, seed=5512, nonmono=5, cuda=True, log_interval=300, save='cont_pretrained_cos.pt', alpha=2, beta=1, wdecay=1.2e-06, resume='pretrain_lm.pt', optimizer='adamw', when=[-1], ce_weight=True, language_model=False, criterion='MSE', tied=True)
Model total parameters: 68287501
| epoch   0 |   600/10519 batches | lr 0.00001 | ms/batch 245.96 | loss  2.57 | ppl    13.10 | bpc    3.711 | acc 0.68402 | tag_acc 0.02472
| epoch   0 |   900/10519 batches | lr 0.00001 | ms/batch 454.38 | loss  2.48 | ppl    11.89 | bpc    3.571 | acc 0.68734 | tag_acc 0.03548
| epoch   0 |  1200/10519 batches | lr 0.00001 | ms/batch 353.31 | loss  2.46 | ppl    11.71 | bpc    3.550 | acc 0.61440 | tag_acc 0.03744
| epoch   0 |  1500/10519 batches | lr 0.00001 | ms/batch 468.29 | loss  2.43 | ppl    11.34 | bpc    3.503 | acc 0.67750 | tag_acc 0.02893
| epoch   0 |  1800/10519 batches | lr 0.00002 | ms/batch 453.18 | loss  2.43 | ppl    11.39 | bpc    3.509 | acc 0.80390 | tag_acc 0.01414
| epoch   0 |  2100/10519 batches | lr 0.00002 | ms/batch 440.48 | loss  2.46 | ppl    11.73 | bpc    3.552 | acc 0.61296 | tag_acc 0.04594
| epoch   0 |  2400/10519 batches | lr 0.00002 | ms/batch 437.82 | loss  2.46 | ppl    11.73 | bpc    3.552 | acc 0.62899 | tag_acc 0.04259
| epoch   0 |  2700/10519 batches | lr 0.00002 | ms/batch 346.69 | loss  2.43 | ppl    11.32 | bpc    3.500 | acc 0.70393 | tag_acc 0.02235
| epoch   0 |  3000/10519 batches | lr 0.00003 | ms/batch 458.54 | loss  2.45 | ppl    11.64 | bpc    3.541 | acc 0.46218 | tag_acc 0.05846
| epoch   0 |  3300/10519 batches | lr 0.00003 | ms/batch 424.33 | loss  2.40 | ppl    10.99 | bpc    3.458 | acc 0.71648 | tag_acc 0.02883
| epoch   0 |  3600/10519 batches | lr 0.00003 | ms/batch 425.32 | loss  2.48 | ppl    11.88 | bpc    3.571 | acc 0.40018 | tag_acc 0.07280
| epoch   0 |  3900/10519 batches | lr 0.00003 | ms/batch 412.29 | loss  2.46 | ppl    11.66 | bpc    3.544 | acc 0.19936 | tag_acc 0.10669
| epoch   0 |  4200/10519 batches | lr 0.00004 | ms/batch 286.49 | loss  2.40 | ppl    11.03 | bpc    3.463 | acc 0.40616 | tag_acc 0.07920
| epoch   0 |  4500/10519 batches | lr 0.00004 | ms/batch 390.04 | loss  2.43 | ppl    11.32 | bpc    3.501 | acc 0.52223 | tag_acc 0.06440
| epoch   0 |  4800/10519 batches | lr 0.00004 | ms/batch 438.74 | loss  2.48 | ppl    11.91 | bpc    3.574 | acc 0.41926 | tag_acc 0.06018
| epoch   0 |  5100/10519 batches | lr 0.00004 | ms/batch 454.29 | loss  2.45 | ppl    11.61 | bpc    3.538 | acc 0.43166 | tag_acc 0.06708
| epoch   0 |  5400/10519 batches | lr 0.00005 | ms/batch 445.27 | loss  2.44 | ppl    11.51 | bpc    3.524 | acc 0.68218 | tag_acc 0.03740
| epoch   0 |  5700/10519 batches | lr 0.00005 | ms/batch 441.02 | loss  2.48 | ppl    11.92 | bpc    3.575 | acc 0.54417 | tag_acc 0.05221
| epoch   0 |  6000/10519 batches | lr 0.00005 | ms/batch 377.65 | loss  2.46 | ppl    11.71 | bpc    3.550 | acc 0.54250 | tag_acc 0.04720
| epoch   0 |  6300/10519 batches | lr 0.00005 | ms/batch 431.47 | loss  2.47 | ppl    11.78 | bpc    3.559 | acc 0.62407 | tag_acc 0.05509
| epoch   0 |  6600/10519 batches | lr 0.00006 | ms/batch 437.23 | loss  2.45 | ppl    11.63 | bpc    3.539 | acc 0.51296 | tag_acc 0.04818
| epoch   0 |  6900/10519 batches | lr 0.00006 | ms/batch 428.92 | loss  2.47 | ppl    11.85 | bpc    3.567 | acc 0.33961 | tag_acc 0.06202
| epoch   0 |  7200/10519 batches | lr 0.00006 | ms/batch 429.85 | loss  2.46 | ppl    11.69 | bpc    3.547 | acc 0.31132 | tag_acc 0.08464
| epoch   0 |  7500/10519 batches | lr 0.00006 | ms/batch 416.66 | loss  2.45 | ppl    11.56 | bpc    3.531 | acc 0.42857 | tag_acc 0.08057
| epoch   0 |  7800/10519 batches | lr 0.00007 | ms/batch 447.89 | loss  2.45 | ppl    11.59 | bpc    3.534 | acc 0.43714 | tag_acc 0.06630
| epoch   0 |  8100/10519 batches | lr 0.00007 | ms/batch 403.63 | loss  2.44 | ppl    11.48 | bpc    3.521 | acc 0.32685 | tag_acc 0.08356
| epoch   0 |  8400/10519 batches | lr 0.00007 | ms/batch 428.62 | loss  2.39 | ppl    10.89 | bpc    3.445 | acc 0.89864 | tag_acc 0.00519
| epoch   0 |  8700/10519 batches | lr 0.00007 | ms/batch 406.53 | loss  2.45 | ppl    11.55 | bpc    3.530 | acc 0.48334 | tag_acc 0.07274
| epoch   0 |  9000/10519 batches | lr 0.00008 | ms/batch 428.08 | loss  2.44 | ppl    11.46 | bpc    3.519 | acc 0.71136 | tag_acc 0.02092
| epoch   0 |  9300/10519 batches | lr 0.00008 | ms/batch 425.72 | loss  2.47 | ppl    11.82 | bpc    3.563 | acc 0.21159 | tag_acc 0.10893
| epoch   0 |  9600/10519 batches | lr 0.00008 | ms/batch 428.85 | loss  2.50 | ppl    12.22 | bpc    3.612 | acc 0.57442 | tag_acc 0.04161
| epoch   0 |  9900/10519 batches | lr 0.00008 | ms/batch 435.80 | loss  2.46 | ppl    11.70 | bpc    3.549 | acc 0.38045 | tag_acc 0.07850
| epoch   0 | 10200/10519 batches | lr 0.00009 | ms/batch 423.61 | loss  2.47 | ppl    11.87 | bpc    3.569 | acc 0.31950 | tag_acc 0.07457
| epoch   0 | 10500/10519 batches | lr 0.00009 | ms/batch 418.24 | loss  2.44 | ppl    11.49 | bpc    3.522 | acc 0.52332 | tag_acc 0.07232
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 4621.66s | valid loss  2.40 | valid ppl    11.07 | valid bpc    3.469 | valid acc 0.93807 | valid tag acc 0.00000
-----------------------------------------------------------------------------------------
Saving model (new best validation)
| epoch   1 |   300/10519 batches | lr 0.00009 | ms/batch 418.85 | loss  2.42 | ppl    11.27 | bpc    3.495 | acc 0.70202 | tag_acc 0.02856
| epoch   1 |   600/10519 batches | lr 0.00009 | ms/batch 422.61 | loss  2.47 | ppl    11.78 | bpc    3.558 | acc 0.42817 | tag_acc 0.05373
| epoch   1 |   900/10519 batches | lr 0.00010 | ms/batch 424.70 | loss  2.49 | ppl    12.03 | bpc    3.588 | acc 0.51746 | tag_acc 0.06349
| epoch   1 |  1200/10519 batches | lr 0.00010 | ms/batch 436.24 | loss  2.46 | ppl    11.70 | bpc    3.549 | acc 0.41818 | tag_acc 0.05808
| epoch   1 |  1500/10519 batches | lr 0.00010 | ms/batch 444.76 | loss  2.45 | ppl    11.63 | bpc    3.540 | acc 0.66259 | tag_acc 0.03768
| epoch   1 |  1800/10519 batches | lr 0.00010 | ms/batch 283.45 | loss  2.47 | ppl    11.82 | bpc    3.563 | acc 0.49551 | tag_acc 0.05523
| epoch   1 |  2100/10519 batches | lr 0.00010 | ms/batch 242.85 | loss  2.48 | ppl    11.90 | bpc    3.573 | acc 0.47224 | tag_acc 0.06047
| epoch   1 |  2400/10519 batches | lr 0.00010 | ms/batch 394.17 | loss  2.50 | ppl    12.20 | bpc    3.609 | acc 0.37856 | tag_acc 0.05926
| epoch   1 |  2700/10519 batches | lr 0.00010 | ms/batch 340.57 | loss  2.43 | ppl    11.34 | bpc    3.503 | acc 0.73437 | tag_acc 0.02720
| epoch   1 |  3000/10519 batches | lr 0.00010 | ms/batch 446.50 | loss  2.49 | ppl    12.01 | bpc    3.587 | acc 0.40817 | tag_acc 0.08832
| epoch   1 |  3300/10519 batches | lr 0.00010 | ms/batch 409.90 | loss  2.42 | ppl    11.20 | bpc    3.485 | acc 0.58187 | tag_acc 0.05124
