Args: Namespace(data='data/enwik8/', model='LSTM', emsize=1024, nhid=4096, nlayers=4, lr=0.01, clip=0.25, epochs=20, batch_size=16, bptt=1024, warmup=3000, cooldown=None, accumulate=4, dropout=0.3, dropouth=0.3, dropouti=0.3, dropoute=0.1, wdrop=0.0, seed=5512, nonmono=5, cuda=True, log_interval=300, save='sha_cuda_1head_logweight_Odiv10_10k_fastem_hisattn.pt', alpha=2, beta=1, wdecay=1.2e-06, resume='', optimizer='adamw', when=[-1], ce_weight=True, tied=True)
Model total parameters: 101874701
| epoch   0 |   300/10519 batches | lr 0.00026 | ms/batch 750.45 | loss  2.51 | ppl    12.26 | bpc    3.616 | acc 0.86618 | tag_acc 0.01153
| epoch   0 |   600/10519 batches | lr 0.00051 | ms/batch 772.82 | loss  2.43 | ppl    11.34 | bpc    3.503 | acc 0.93537 | tag_acc 0.00000
| epoch   0 |   900/10519 batches | lr 0.00076 | ms/batch 755.18 | loss  2.44 | ppl    11.45 | bpc    3.518 | acc 0.86940 | tag_acc 0.01711
| epoch   0 |  1200/10519 batches | lr 0.00101 | ms/batch 736.34 | loss  2.43 | ppl    11.36 | bpc    3.506 | acc 0.80775 | tag_acc 0.01439
| epoch   0 |  1500/10519 batches | lr 0.00126 | ms/batch 755.84 | loss  2.41 | ppl    11.09 | bpc    3.472 | acc 0.85194 | tag_acc 0.00793
| epoch   0 |  1800/10519 batches | lr 0.00151 | ms/batch 800.92 | loss  2.41 | ppl    11.18 | bpc    3.483 | acc 0.92826 | tag_acc 0.00025
| epoch   0 |  2100/10519 batches | lr 0.00176 | ms/batch 758.12 | loss  2.43 | ppl    11.36 | bpc    3.506 | acc 0.59444 | tag_acc 0.04729
| epoch   0 |  2400/10519 batches | lr 0.00201 | ms/batch 733.73 | loss  2.46 | ppl    11.69 | bpc    3.547 | acc 0.50082 | tag_acc 0.05843
| epoch   0 |  2700/10519 batches | lr 0.00226 | ms/batch 759.53 | loss  2.42 | ppl    11.29 | bpc    3.497 | acc 0.77318 | tag_acc 0.02426
| epoch   0 |  3000/10519 batches | lr 0.00251 | ms/batch 813.15 | loss  2.47 | ppl    11.84 | bpc    3.565 | acc 0.46167 | tag_acc 0.08323
| epoch   0 |  3300/10519 batches | lr 0.00276 | ms/batch 775.80 | loss  2.40 | ppl    11.04 | bpc    3.465 | acc 0.73333 | tag_acc 0.04242
| epoch   0 |  3600/10519 batches | lr 0.00301 | ms/batch 768.33 | loss  2.47 | ppl    11.80 | bpc    3.560 | acc 0.30922 | tag_acc 0.08668
| epoch   0 |  3900/10519 batches | lr 0.00326 | ms/batch 755.36 | loss  2.47 | ppl    11.80 | bpc    3.560 | acc 0.15088 | tag_acc 0.11386
